ID,yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
0,1985,TOR,1,759,588,161,99,1482,503,,5508,,158,281,53,8812550,0.269063180828,0.330227915488,0.425381263617
1,1985,NYA,2,839,660,161,97,1458,620,,5458,,176,272,31,14238204,0.267130817149,0.341888779204,0.425064126053
2,1985,DET,3,729,688,161,84,1413,526,,5575,,202,254,45,10348143,0.253452914798,0.317816751352,0.423856502242
3,1985,BAL,4,818,764,161,83,1451,604,,5517,,214,234,22,11560712,0.26300525648,0.335729455971,0.429762552112
4,1985,BOS,5,800,720,163,81,1615,562,,5720,,162,292,31,10897560,0.282342657343,0.346545686087,0.429195804196
5,1985,ML4,6,690,802,161,71,1467,462,,5568,,101,250,44,11284107,0.263469827586,0.319900497512,0.378591954023
6,1985,CLE,7,729,861,162,60,1465,492,,5527,,116,254,31,6551666,0.265062420843,0.325137065958,0.385199927628
7,1985,KCA,1,687,639,162,91,1384,473,,5500,,154,261,49,9321179,0.251636363636,0.310899045706,0.400909090909
8,1985,CAL,2,732,703,162,90,1364,648,,5442,,153,215,31,14427894,0.250643145902,0.330377668309,0.385887541345
9,1985,CHA,3,736,720,163,85,1386,471,,5470,,146,247,37,9846178,0.253382084095,0.312573640801,0.392138939671
10,1985,MIN,4,705,782,162,77,1453,502,,5509,,141,282,41,5764821,0.263750226901,0.32523706538,0.406607369759
11,1985,OAK,4,757,787,162,77,1475,508,,5581,,155,230,34,9058606,0.264289553843,0.325669239612,0.401003404408
12,1985,SEA,6,719,818,162,74,1410,564,,5521,,171,277,38,4613000,0.255388516573,0.324404272802,0.412244158667
13,1985,TEX,7,617,785,161,62,1359,530,,5361,,129,213,41,7676500,0.253497481813,0.320658631811,0.380712553628
14,1985,SLN,1,747,572,162,101,1446,586,,5467,,87,245,59,11817083,0.264496067313,0.335701305138,0.378635449058
15,1985,NYN,2,695,568,162,98,1425,546,,5549,,134,239,35,10834762,0.256803027573,0.323379819524,0.384934222382
16,1985,MON,3,633,636,161,84,1342,492,,5429,,118,242,49,9470166,0.247191011236,0.309744975511,0.375023024498
17,1985,CHN,4,686,729,162,77,1397,562,,5492,,150,239,28,12702917,0.254369992717,0.323587710605,0.390021849964
18,1985,PHI,5,667,673,162,75,1343,527,,5477,,141,238,47,10124966,0.245207230236,0.311459027315,0.383056417747
19,1985,PIT,6,568,708,161,57,1340,514,,5436,,80,251,28,9227500,0.246504782929,0.311596638655,0.347130242826
20,1985,LAN,1,682,579,162,95,1434,539,,5502,,129,226,28,10967917,0.260632497274,0.326601556034,0.382224645583
21,1985,CIN,2,677,666,162,89,1385,576,,5431,,114,249,34,8359917,0.255017492175,0.326452472116,0.37635794513
22,1985,HOU,3,706,691,162,83,1457,477,,5582,,121,261,42,9993051,0.261017556431,0.319194586565,0.387853815837
23,1985,SDN,3,650,622,162,83,1405,513,,5507,,109,241,28,11036583,0.255129834756,0.318604651163,0.36844016706
